[2025-12-11T10:41:09]
Strategy: greedy_ig
Pairwise: equal
Num agents: 2
Iteration: 0
Error margin: None
Gaussian radius 4 
Grid info: range: 0-50-50, cell_size:0.125, map shape: (400, 400), center:True
init UAV positions: [(25.0, 25.0, 5.4), (-25.0, 25.0, 5.4)]
mcts_params: {}
Step	Entropy	MSE	Coverage	Heights	Actions	IGs
76   	1921.93     	0.000   	1.0000  	[21.7, 21.7]	[hover, hover]	[34.4036, 76.2905]
77   	1913.29     	0.000   	1.0000  	[21.7, 21.7]	[hover, hover]	[30.3853, 55.9681]
78   	1902.15     	0.000   	1.0000  	[21.7, 21.7]	[front, back]	[28.8532, 45.2681]
79   	1892.04     	0.000   	1.0000  	[21.7, 21.7]	[front, back]	[29.1358, 39.1806]
80   	1893.80     	0.000   	1.0000  	[21.7, 21.7]	[front, back]	[31.0098, 35.2497]
81   	1896.86     	0.000   	1.0000  	[21.7, 21.7]	[front, back]	[34.0840, 33.0119]
82   	1890.03     	0.000   	1.0000  	[21.7, 21.7]	[front, back]	[39.7409, 39.3114]
83   	1893.43     	0.000   	1.0000  	[21.7, 21.7]	[front, back]	[49.3733, 57.6643]
84   	1894.35     	0.000   	1.0000  	[21.7, 21.7]	[front, back]	[70.2587, 91.4453]
85   	1891.81     	0.000   	1.0000  	[21.7, 21.7]	[front, back]	[102.6081, 175.7544]
86   	1887.37     	0.000   	1.0000  	[21.7, 21.7]	[hover, hover]	[70.5563, 114.9244]
87   	1881.37     	0.000   	1.0000  	[21.7, 21.7]	[hover, hover]	[52.1526, 78.3931]
88   	1876.97     	0.000   	1.0000  	[21.7, 21.7]	[hover, hover]	[42.1114, 55.3839]
89   	1878.80     	0.000   	1.0000  	[21.7, 21.7]	[hover, hover]	[35.5859, 40.6486]
90   	1875.47     	0.000   	1.0000  	[21.7, 21.7]	[hover, hover]	[32.2445, 34.0088]
91   	1872.98     	0.000   	1.0000  	[21.7, 21.7]	[hover, hover]	[30.1642, 30.1252]
92   	1874.18     	0.000   	1.0000  	[21.7, 21.7]	[hover, right]	[28.1595, 28.6023]
93   	1873.85     	0.000   	1.0000  	[21.7, 21.7]	[hover, right]	[27.1822, 28.4055]
94   	1874.44     	0.000   	1.0000  	[21.7, 21.7]	[hover, right]	[26.7147, 27.8739]
95   	1874.45     	0.000   	1.0000  	[21.7, 21.7]	[right, right]	[26.3502, 30.2848]
96   	1874.10     	0.000   	1.0000  	[21.7, 21.7]	[back, right]	[25.9726, 34.7370]
97   	1874.22     	0.000   	1.0000  	[21.7, 21.7]	[back, right]	[26.1414, 52.3496]
98   	1871.80     	0.000   	1.0000  	[21.7, 21.7]	[back, right]	[26.7566, 90.5291]
99   	1870.34     	0.000   	1.0000  	[21.7, 21.7]	[back, right]	[26.8404, 184.4936]
[2025-12-11T10:46:54]
Strategy: greedy_ig
Pairwise: adaptive
Num agents: 2
Iteration: 16
Error margin: None
Gaussian radius 4 
Grid info: range: 0-50-50, cell_size:0.125, map shape: (400, 400), center:True
init UAV positions: [(-25.0, -25.0, 5.4), (-25.0, 25.0, 5.4)]
mcts_params: {}
Step	Entropy	MSE	Coverage	Heights	Actions	IGs
------------------------------------------------------------------------------------------------------------------------
0    	158843.99   	0.435   	0.0078  	[5.4, 5.4]	[up, up]	[821.9019, 827.6221]
1    	155950.24   	0.439   	0.0312  	[10.8, 10.8]	[up, up]	[1055.6788, 1040.6745]
2    	152588.71   	0.449   	0.0703  	[16.2, 16.2]	[front, back]	[1228.0775, 1219.4512]
3    	149898.24   	0.450   	0.0938  	[16.2, 16.2]	[right, right]	[1519.6647, 1507.7880]
4    	146069.50   	0.451   	0.1250  	[16.2, 16.2]	[front, right]	[1668.6465, 1702.6879]
5    	141991.82   	0.453   	0.1562  	[16.2, 16.2]	[right, back]	[1918.6788, 2016.4307]
6    	136692.44   	0.451   	0.1953  	[16.2, 16.2]	[front, back]	[2055.7826, 2108.7422]
7    	130238.88   	0.428   	0.2344  	[16.2, 16.2]	[right, right]	[2057.5399, 2207.8274]
8    	123129.53   	0.427   	0.2812  	[16.2, 16.2]	[right, right]	[1999.8315, 2138.0033]
9    	116831.04   	0.430   	0.3281  	[16.2, 16.2]	[up, right]	[2050.9625, 2305.3757]
10   	109347.16   	0.409   	0.4062  	[21.7, 16.2]	[front, right]	[2248.3221, 2464.2062]
11   	101839.88   	0.390   	0.4609  	[21.7, 16.2]	[front, right]	[2236.5629, 2486.5275]
12   	93757.11    	0.362   	0.5156  	[21.7, 16.2]	[front, right]	[2224.9817, 2330.6584]
13   	85076.87    	0.337   	0.5703  	[21.7, 16.2]	[front, right]	[2126.1610, 2109.5291]
14   	78493.92    	0.316   	0.5938  	[21.7, 16.2]	[front, right]	[2127.4334, 1944.0189]
15   	72248.88    	0.297   	0.6172  	[21.7, 16.2]	[front, right]	[2153.8815, 1896.6390]
16   	66741.33    	0.283   	0.6406  	[21.7, 16.2]	[front, right]	[2227.0581, 1890.3938]
17   	61809.80    	0.270   	0.6641  	[21.7, 16.2]	[front, right]	[2248.9478, 1882.4780]
18   	57520.62    	0.260   	0.6875  	[21.7, 16.2]	[front, back]	[2337.2260, 1742.5605]
19   	53827.32    	0.236   	0.7109  	[21.7, 16.2]	[right, back]	[2234.8028, 1754.9696]
20   	49661.84    	0.208   	0.7422  	[21.7, 16.2]	[right, back]	[2209.5884, 1836.9985]
